1,2,3,4,5,6,7,8,9,label
79,0,84,0,-36,-196,4,120,116,5
81,0,84,0,-20,26,3,105,102,5
80,0,84,-1,-28,-24,4,112,108,5
108,3,109,0,72,7,1,36,36,5
85,0,88,7,2,0,3,86,82,5
81,0,84,0,-20,-17,4,105,102,5
81,0,84,0,-14,-2,4,100,96,5
80,-4,84,0,-42,0,5,128,124,5
81,0,84,0,-20,16,4,105,102,5
76,0,81,0,-42,-20,5,125,120,5
82,0,86,0,-10,10,3,96,92,5
106,0,107,0,72,0,1,35,34,5
76,-1,81,0,-42,-3,5,125,120,5
84,-2,88,0,0,0,4,88,84,5
77,4,81,3,-40,10,4,123,118,5
84,0,86,-1,-2,0,3,89,86,5
73,8,77,9,-42,-4,4,121,116,5
102,0,102,-5,70,-10,1,33,32,5
105,0,107,2,70,0,1,37,36,5
85,0,88,0,0,-1,3,88,86,5
79,0,83,0,-42,21,4,127,122,5
74,5,79,10,-42,0,4,123,118,5
82,0,86,0,-40,16,4,128,124,5
80,0,84,6,-36,29,5,121,116,5
79,0,83,-1,-40,7,4,124,120,5
81,5,85,0,-12,0,4,98,94,5
107,5,108,1,72,6,1,36,34,5
82,0,85,0,-6,5,3,93,90,5
86,2,89,0,8,4,3,81,78,5
80,0,84,5,-42,0,5,128,124,5
105,-1,106,-4,70,-5,1,36,36,5
104,0,106,0,72,2,1,33,32,5
80,0,84,0,-36,0,4,120,116,5
81,0,86,0,-22,15,4,109,104,5
84,2,87,2,-4,0,3,92,88,5
101,0,102,0,72,8,1,29,28,5
78,1,82,3,-42,0,4,126,122,5
106,-1,108,0,72,3,1,35,34,5
107,1,109,5,72,1,2,36,34,5
102,2,103,1,72,29,1,31,30,5
79,2,83,0,-46,0,4,129,126,5
83,0,87,7,-6,-18,4,95,90,5
82,0,86,8,-10,14,4,97,92,5
105,-4,106,0,72,6,1,34,32,5
85,-7,89,0,8,0,4,81,78,5
82,3,86,-2,-10,14,3,96,92,5
79,2,83,0,-40,15,4,124,120,5
82,0,86,0,-4,-10,3,91,88,5
102,0,103,2,72,30,1,31,30,5
102,0,103,0,70,-26,1,33,32,5
83,0,86,0,-6,0,3,94,90,5
76,3,80,2,-42,0,4,124,120,5
102,0,104,0,70,-10,1,34,32,5
85,-2,89,0,2,-4,4,86,82,5
79,0,83,0,-42,1,4,127,122,5
80,0,84,0,-24,14,4,110,106,5
102,-5,104,-2,72,16,1,31,30,5
106,-1,107,-6,70,0,1,37,36,5
80,-1,84,-1,-42,4,5,128,124,5
82,0,86,3,-10,-30,4,96,92,5
82,0,86,0,-12,-28,3,99,96,5
83,0,86,0,-2,0,3,88,86,5
80,0,84,0,-38,0,4,123,118,5
77,-44,107,0,62,-4,30,45,16,3
79,-5,83,0,-40,0,4,125,120,5
106,0,107,0,72,7,1,35,34,5
105,-1,106,-3,70,-4,1,36,36,5
81,4,84,0,-24,0,3,110,106,5
80,0,84,-5,-20,0,4,105,100,5
84,0,87,-5,0,1,3,87,84,5
80,1,84,0,-24,26,4,110,106,5
80,0,84,0,-24,24,4,110,106,5
82,0,86,5,-6,2,4,94,90,5
45,-44,77,0,-2,0,32,79,48,3
76,0,81,5,-42,-25,5,125,120,5
51,23,77,0,28,0,26,48,22,2
79,0,83,0,-38,13,4,122,118,5
