	1	2	3	4	5	6	7	8	label
0	1	0.565	0.45	0.175	1.0095	0.447	0.2375	0.2645	9
1	2	0.57	0.46	0.15	1.0375	0.5415	0.2035	0.25	9
2	2	0.575	0.435	0.14	0.8455	0.401	0.191	0.222	9
3	1	0.575	0.47	0.165	0.869	0.435	0.197	0.238	9
4	2	0.575	0.455	0.135	0.907	0.4245	0.197	0.26	9
5	2	0.575	0.445	0.17	1.0225	0.549	0.2175	0.228	9
6	2	0.575	0.445	0.145	0.847	0.415	0.1945	0.22	9
7	2	0.58	0.455	0.195	1.859	0.945	0.426	0.441	9
8	2	0.58	0.445	0.135	0.814	0.3775	0.1915	0.22	9
9	2	0.58	0.45	0.14	0.9615	0.486	0.1815	0.253	9
10	1	0.58	0.45	0.155	0.93	0.385	0.246	0.265	9
11	2	0.585	0.46	0.145	0.9335	0.478	0.1825	0.235	9
12	1	0.6	0.475	0.16	1.0265	0.485	0.2495	0.2565	9
13	1	0.605	0.47	0.165	1.1775	0.611	0.2275	0.292	9
14	2	0.605	0.475	0.14	1.1175	0.555	0.257	0.274	9
15	1	0.605	0.475	0.165	1.056	0.433	0.2195	0.357	9
16	2	0.61	0.485	0.145	1.3305	0.783	0.2255	0.2865	9
17	2	0.61	0.47	0.165	1.052	0.498	0.242	0.267	9
18	1	0.615	0.465	0.15	0.923	0.4615	0.1825	0.2415	9
19	1	0.615	0.475	0.155	1.027	0.447	0.25	0.285	9
20	1	0.625	0.485	0.175	1.3745	0.7335	0.2715	0.332	9
21	1	0.635	0.495	0.015	1.1565	0.5115	0.308	0.2885	9
22	1	0.65	0.5	0.19	1.464	0.6415	0.339	0.4245	9
23	3	0.665	0.5	0.17	1.2975	0.6035	0.291	0.3595	9
24	1	0.67	0.505	0.205	1.3645	0.6075	0.3025	0.353	9
25	1	0.69	0.54	0.155	1.454	0.624	0.3105	0.39	9
26	1	0.69	0.53	0.17	1.5535	0.7945	0.3485	0.3695	9
27	2	0.7	0.565	0.18	1.751	0.895	0.3355	0.446	9
28	1	0.7	0.525	0.19	1.6465	0.8545	0.307	0.3995	9
29	1	0.705	0.55	0.17	1.219	0.6395	0.236	0.301	9
30	3	0.385	0.29	0.09	0.2615	0.111	0.0595	0.0745	9
31	3	0.44	0.34	0.12	0.438	0.2115	0.083	0.12	9
32	3	0.45	0.33	0.105	0.448	0.208	0.089	0.12	9
33	3	0.46	0.35	0.105	0.3705	0.1575	0.077	0.114	9
34	3	0.48	0.37	0.125	0.5435	0.244	0.101	0.165	9
35	3	0.5	0.38	0.135	0.594	0.2945	0.104	0.1565	9
36	2	0.5	0.42	0.135	0.6765	0.302	0.1415	0.2065	9
37	3	0.5	0.375	0.145	0.5795	0.239	0.1375	0.185	9
38	3	0.5	0.41	0.14	0.6615	0.2585	0.1625	0.196	9
39	3	0.5	0.395	0.14	0.6215	0.2925	0.1205	0.195	9
40	3	0.515	0.4	0.135	0.6965	0.32	0.1255	0.175	9
41	3	0.52	0.395	0.125	0.663	0.3005	0.131	0.1905	9
42	3	0.525	0.4	0.125	0.6965	0.369	0.1385	0.164	9
43	2	0.525	0.42	0.155	0.842	0.428	0.1415	0.2045	9
44	3	0.53	0.415	0.13	0.694	0.3905	0.111	0.167	9
45	3	0.53	0.415	0.11	0.5745	0.2525	0.1235	0.189	9
46	3	0.53	0.425	0.13	0.7675	0.419	0.1205	0.21	9
47	3	0.535	0.4	0.135	0.6025	0.2895	0.121	0.154	9
48	1	0.535	0.41	0.13	0.7145	0.335	0.144	0.2075	9
49	2	0.535	0.435	0.15	0.717	0.3475	0.1445	0.194	9
50	3	0.54	0.42	0.14	0.7265	0.3205	0.1445	0.229	9
51	1	0.545	0.445	0.15	0.8	0.3535	0.163	0.207	9
52	1	0.55	0.405	0.125	0.651	0.2965	0.137	0.2	9
53	2	0.55	0.43	0.15	0.8745	0.413	0.1905	0.248	9
54	3	0.55	0.425	0.135	0.7305	0.3325	0.1545	0.215	9
55	2	0.555	0.44	0.14	0.8705	0.407	0.156	0.255	9
56	3	0.555	0.43	0.14	0.7665	0.341	0.165	0.23	9
57	3	0.555	0.425	0.145	0.7905	0.3485	0.1765	0.225	9
58	3	0.56	0.425	0.135	0.8205	0.3715	0.185	0.236	9
59	3	0.56	0.425	0.145	0.688	0.3095	0.1305	0.2165	9
60	3	0.56	0.455	0.145	0.974	0.547	0.1615	0.235	9
61	1	0.57	0.46	0.135	0.9795	0.397	0.2525	0.2655	9
62	2	0.57	0.435	0.125	0.8965	0.383	0.1835	0.275	9
63	1	0.575	0.48	0.165	1.078	0.511	0.2095	0.306	9
64	2	0.585	0.465	0.155	0.9145	0.4555	0.1965	0.235	9
65	3	0.59	0.445	0.135	0.7715	0.328	0.1745	0.23	9
66	2	0.59	0.47	0.18	1.187	0.5985	0.227	0.31	9
67	1	0.605	0.475	0.175	1.076	0.463	0.2195	0.335	9
68	3	0.61	0.465	0.15	0.9605	0.4495	0.1725	0.286	9
69	2	0.615	0.48	0.175	1.118	0.446	0.3195	0.3	9
70	2	0.625	0.455	0.17	1.082	0.4955	0.2345	0.315	9
71	1	0.625	0.515	0.16	1.264	0.5715	0.326	0.321	9
72	1	0.63	0.485	0.17	1.3205	0.5945	0.345	0.345	9
73	1	0.635	0.5	0.165	1.4595	0.705	0.2645	0.39	9
74	1	0.635	0.495	0.175	1.211	0.707	0.2725	0.323	9
75	2	0.65	0.51	0.19	1.542	0.7155	0.3735	0.375	9
76	2	0.685	0.545	0.205	1.7925	0.8145	0.416	0.461	9
77	1	0.745	0.57	0.215	2.25	1.1565	0.446	0.558	9
78	2	0.415	0.315	0.115	0.3895	0.2015	0.065	0.103	9
79	3	0.44	0.365	0.11	0.4465	0.213	0.089	0.1135	9
80	3	0.47	0.345	0.14	0.4615	0.229	0.1105	0.116	9
81	2	0.505	0.385	0.105	0.5525	0.239	0.1245	0.1555	9
82	1	0.505	0.38	0.135	0.6855	0.361	0.1565	0.161	9
83	3	0.53	0.43	0.13	0.7045	0.346	0.1415	0.189	9
84	1	0.545	0.41	0.14	0.7405	0.3565	0.1775	0.203	9
