	a1	a2	a3	a4	a5	a6	Label
0	52	57	48	42	47	54	0
1	25	37	48	43	26	36	0
2	35	48	48	56	4	48	0
3	26	26	48	34	25	35	0
4	44	51	48	47	26	36	0
5	37	5	48	42	36	45	0
6	44	42	48	42	25	2	0
7	24	43	48	37	28	38	0
8	42	3	48	48	26	36	0
9	48	42	48	45	25	35	0
10	41	48	48	51	44	51	0
11	44	28	48	43	27	37	0
12	29	41	48	48	38	46	0
13	34	28	48	41	35	44	0
14	41	43	48	45	31	41	0
15	29	47	48	41	23	34	0
16	34	55	48	58	31	41	0
17	36	56	48	43	45	53	0
18	4	46	48	52	49	56	0
19	5	49	48	49	46	53	0
20	52	44	48	37	36	42	0
21	5	51	48	27	23	34	0
22	53	42	48	16	29	39	0
23	34	46	48	52	35	44	0
24	4	42	48	37	27	27	0
25	41	43	48	5	24	25	0
26	3	45	48	36	21	32	0
27	31	47	48	29	28	39	0
28	64	76	48	45	35	38	0
29	35	37	48	3	34	43	0
30	57	54	48	37	28	33	0
31	65	55	48	34	37	28	0
32	51	46	48	58	31	41	0
33	38	4	48	63	25	35	0
34	24	57	48	63	34	43	0
35	38	26	48	54	16	28	0
36	33	47	48	53	18	29	0
37	24	34	48	38	3	4	0
38	26	5	48	44	32	41	0
39	44	49	48	39	38	4	0
40	43	32	48	33	45	52	0
41	49	43	48	49	3	4	0
42	47	28	48	56	2	25	0
43	32	33	48	6	6	2	0
44	34	35	48	51	49	56	0
45	35	34	48	46	3	27	0
46	38	3	48	43	29	39	0
47	38	44	48	43	2	31	0
48	41	51	48	58	2	31	0
49	34	42	48	41	34	43	0
50	51	49	48	53	14	26	0
51	25	51	48	37	42	5	0
52	29	28	48	5	42	5	0
53	25	26	48	39	32	42	0
54	24	41	48	49	23	34	0
55	17	39	48	53	3	39	0
56	4	31	48	41	29	39	0
57	61	36	48	49	35	44	0
58	34	51	48	44	37	46	0
59	28	33	48	45	22	33	0
60	4	46	48	42	35	44	0
61	23	34	48	43	26	37	0
62	37	44	48	42	39	47	0
63	0	38	48	42	48	55	0
64	39	31	48	38	34	43	0
65	3	44	48	49	22	33	0
66	27	3	48	71	28	39	0
67	17	52	48	49	37	46	0
68	36	42	48	53	32	41	0
69	3	37	48	43	18	3	0
70	26	4	48	36	26	37	0
71	4	41	48	55	22	33	0
