	a1	a2	a3	a4	a5	a6	label
0	61	45	48	48	35	41	0
1	17	38	48	45	42	5	0
2	44	35	48	55	55	61	0
3	43	4	48	39	28	39	0
4	42	35	48	58	15	27	0
5	23	33	48	43	33	43	0
6	37	52	48	42	42	36	0
7	29	3	48	45	3	17	0
8	22	36	48	35	39	47	0
9	23	58	48	37	53	59	0
10	47	47	48	22	16	26	0
11	54	47	48	28	33	42	0
12	51	37	48	35	36	45	0
13	4	35	48	45	33	42	0
14	44	34	48	3	33	43	0
15	42	38	48	54	34	43	0
16	44	56	48	5	46	54	0
17	52	36	48	41	28	38	0
18	36	41	48	48	47	54	0
19	18	3	48	46	24	35	0
20	47	29	48	51	33	43	0
21	24	43	48	54	52	59	0
22	25	37	48	41	33	42	0
23	52	57	48	42	47	54	0
24	25	37	48	43	26	36	0
25	35	48	48	56	4	48	0
26	26	26	48	34	25	35	0
27	44	51	48	47	26	36	0
28	37	5	48	42	36	45	0
29	44	42	48	42	25	2	0
30	24	43	48	37	28	38	0
31	42	3	48	48	26	36	0
32	48	42	48	45	25	35	0
33	41	48	48	51	44	51	0
34	44	28	48	43	27	37	0
35	29	41	48	48	38	46	0
36	34	28	48	41	35	44	0
37	41	43	48	45	31	41	0
38	29	47	48	41	23	34	0
39	34	55	48	58	31	41	0
40	36	56	48	43	45	53	0
41	4	46	48	52	49	56	0
42	5	49	48	49	46	53	0
43	52	44	48	37	36	42	0
44	5	51	48	27	23	34	0
45	53	42	48	16	29	39	0
46	34	46	48	52	35	44	0
47	4	42	48	37	27	27	0
48	41	43	48	5	24	25	0
49	3	45	48	36	21	32	0
50	31	47	48	29	28	39	0
51	64	76	48	45	35	38	0
52	35	37	48	3	34	43	0
53	57	54	48	37	28	33	0
54	65	55	48	34	37	28	0
55	51	46	48	58	31	41	0
56	38	4	48	63	25	35	0
57	24	57	48	63	34	43	0
58	38	26	48	54	16	28	0
59	33	47	48	53	18	29	0
60	24	34	48	38	3	4	0
61	26	5	48	44	32	41	0
62	44	49	48	39	38	4	0
63	43	32	48	33	45	52	0
64	49	43	48	49	3	4	0
65	47	28	48	56	2	25	0
66	32	33	48	6	6	2	0
67	34	35	48	51	49	56	0
68	35	34	48	46	3	27	0
69	38	3	48	43	29	39	0
70	38	44	48	43	2	31	0
71	41	51	48	58	2	31	0
72	34	42	48	41	34	43	0
73	51	49	48	53	14	26	0
74	25	51	48	37	42	5	0
75	29	28	48	5	42	5	0
76	25	26	48	39	32	42	0
77	24	41	48	49	23	34	0
78	17	39	48	53	3	39	0
79	4	31	48	41	29	39	0
80	61	36	48	49	35	44	0
81	34	51	48	44	37	46	0
82	28	33	48	45	22	33	0
83	4	46	48	42	35	44	0
84	23	34	48	43	26	37	0
85	37	44	48	42	39	47	0
86	0	38	48	42	48	55	0
87	39	31	48	38	34	43	0
88	3	44	48	49	22	33	0
89	27	3	48	71	28	39	0
90	17	52	48	49	37	46	0
91	36	42	48	53	32	41	0
92	3	37	48	43	18	3	0
93	26	4	48	36	26	37	0
94	4	41	48	55	22	33	0
95	22	34	48	42	29	39	0
96	44	35	48	44	52	59	0
97	27	42	48	37	38	43	0
98	16	43	48	54	27	37	0
99	77	57	1	37	54	1	0
100	66	49	1	54	56	36	0
101	71	46	1	52	59	3	0
102	67	55	1	66	58	16	0
103	68	49	1	62	55	28	0
104	74	49	48	42	54	36	0
105	7	61	48	56	52	43	0
106	66	86	48	34	41	36	0
107	73	78	48	58	51	31	0
108	65	57	48	47	47	51	0
109	72	86	48	17	55	21	0
110	67	7	48	46	45	33	0
111	67	81	48	54	49	23	0
112	67	61	48	51	37	38	0
113	63	1	48	35	51	49	0
114	57	59	48	39	47	33	0
115	71	71	48	4	54	39	0
116	66	74	48	31	38	43	0
117	67	81	48	25	42	25	0
118	64	72	48	49	42	19	0
119	68	82	48	38	65	56	0
120	32	39	48	53	28	38	0
121	7	64	48	47	51	47	0
122	63	57	48	49	7	2	0
123	74	82	48	49	49	41	0
124	63	86	48	39	47	34	0
125	63	83	48	4	39	19	0
126	63	71	48	6	4	39	0
127	71	86	48	4	54	32	0
128	68	78	48	43	44	42	0
129	64	84	48	37	45	4	0
130	74	47	48	5	57	42	0
131	75	84	48	35	52	33	0
132	63	65	48	39	44	35	0
133	69	67	48	3	39	24	0
134	7	71	48	42	84	85	0
135	69	8	48	46	57	26	0
136	64	66	48	41	39	2	0
137	63	8	48	46	31	29	0
138	66	71	48	41	5	35	0
139	69	59	48	46	44	52	0
140	68	67	48	49	4	34	0
141	64	78	48	5	36	38	0
142	62	78	48	47	49	54	0
143	76	73	48	44	39	39	0
144	64	81	48	37	39	44	0
145	29	39	48	52	4	48	0
146	62	83	48	46	36	4	0
147	56	54	48	43	37	3	0
148	69	66	48	41	5	25	0
149	69	65	48	63	48	41	0
150	43	59	48	52	49	56	0
151	74	56	48	47	68	3	0
152	71	57	48	48	35	32	0
153	61	6	48	44	39	38	0
154	59	61	48	42	42	37	0
155	74	74	48	31	53	52	0
156	78	68	48	83	4	29	1
157	63	69	48	65	41	28	1
158	67	88	48	73	5	25	1
159	61	75	48	51	33	33	1
160	67	84	48	74	54	37	1
161	74	9	48	57	53	29	1
162	73	84	48	86	58	29	1
163	75	76	48	83	57	3	1
164	77	57	48	88	53	2	1
165	74	78	48	75	54	15	1
166	68	76	48	84	45	27	1
167	56	68	48	77	36	45	1
168	65	51	48	66	54	33	1
169	52	81	48	72	38	38	1
170	64	57	48	7	33	26	1
171	6	76	1	77	59	52	1
172	69	59	48	77	39	21	1
173	63	49	48	79	45	28	1
174	71	71	48	68	43	36	1
175	68	63	48	73	4	3	1
