	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	label
0	0.49	0.29	0.48	0.5	0.56	0.24	0.35	0
1	0.07	0.4	0.48	0.5	0.54	0.35	0.44	0
2	0.56	0.4	0.48	0.5	0.49	0.37	0.46	0
3	0.59	0.49	0.48	0.5	0.52	0.45	0.36	0
4	0.23	0.32	0.48	0.5	0.55	0.25	0.35	0
5	0.67	0.39	0.48	0.5	0.36	0.38	0.46	0
6	0.29	0.28	0.48	0.5	0.44	0.23	0.34	0
7	0.21	0.34	0.48	0.5	0.51	0.28	0.39	0
8	0.2	0.44	0.48	0.5	0.46	0.51	0.57	0
9	0.42	0.4	0.48	0.5	0.56	0.18	0.3	0
10	0.42	0.24	0.48	0.5	0.57	0.27	0.37	0
11	0.25	0.48	0.48	0.5	0.44	0.17	0.29	0
12	0.39	0.32	0.48	0.5	0.46	0.24	0.35	0
13	0.51	0.5	0.48	0.5	0.46	0.32	0.35	0
14	0.22	0.43	0.48	0.5	0.48	0.16	0.28	0
15	0.25	0.4	0.48	0.5	0.46	0.44	0.52	0
16	0.34	0.45	0.48	0.5	0.38	0.24	0.35	0
17	0.44	0.27	0.48	0.5	0.55	0.52	0.58	0
18	0.23	0.4	0.48	0.5	0.39	0.28	0.38	0
19	0.41	0.57	0.48	0.5	0.39	0.21	0.32	0
20	0.4	0.45	0.48	0.5	0.38	0.22	0.0	0
21	0.31	0.23	0.48	0.5	0.73	0.05	0.14	0
22	0.51	0.54	0.48	0.5	0.41	0.34	0.43	0
23	0.3	0.16	0.48	0.5	0.56	0.11	0.23	0
24	0.36	0.39	0.48	0.5	0.48	0.22	0.23	0
25	0.29	0.37	0.48	0.5	0.48	0.44	0.52	0
26	0.25	0.4	0.48	0.5	0.47	0.33	0.42	0
27	0.21	0.51	0.48	0.5	0.5	0.32	0.41	0
28	0.43	0.37	0.48	0.5	0.53	0.35	0.44	0
29	0.43	0.39	0.48	0.5	0.47	0.31	0.41	0
30	0.53	0.38	0.48	0.5	0.44	0.26	0.36	0
31	0.34	0.33	0.48	0.5	0.38	0.35	0.44	0
32	0.56	0.51	0.48	0.5	0.34	0.37	0.46	0
33	0.4	0.29	0.48	0.5	0.42	0.35	0.44	0
34	0.24	0.35	0.48	0.5	0.31	0.19	0.31	0
35	0.36	0.54	0.48	0.5	0.41	0.38	0.46	0
36	0.29	0.52	0.48	0.5	0.42	0.29	0.39	0
37	0.65	0.47	0.48	0.5	0.59	0.3	0.4	0
38	0.32	0.42	0.48	0.5	0.35	0.28	0.38	0
39	0.38	0.46	0.48	0.5	0.48	0.22	0.29	0
40	0.33	0.45	0.48	0.5	0.52	0.32	0.41	0
41	0.3	0.37	0.48	0.5	0.59	0.41	0.49	0
42	0.4	0.5	0.48	0.5	0.45	0.39	0.47	0
43	0.28	0.38	0.48	0.5	0.5	0.33	0.42	0
44	0.61	0.45	0.48	0.5	0.48	0.35	0.41	0
45	0.17	0.38	0.48	0.5	0.45	0.42	0.5	0
46	0.44	0.35	0.48	0.5	0.55	0.55	0.61	0
47	0.43	0.4	0.48	0.5	0.39	0.28	0.39	0
48	0.42	0.35	0.48	0.5	0.58	0.15	0.27	0
49	0.23	0.33	0.48	0.5	0.43	0.33	0.43	0
50	0.37	0.52	0.48	0.5	0.42	0.42	0.36	0
51	0.29	0.3	0.48	0.5	0.45	0.03	0.17	0
52	0.22	0.36	0.48	0.5	0.35	0.39	0.47	0
53	0.23	0.58	0.48	0.5	0.37	0.53	0.59	0
54	0.47	0.47	0.48	0.5	0.22	0.16	0.26	0
55	0.54	0.47	0.48	0.5	0.28	0.33	0.42	0
56	0.51	0.37	0.48	0.5	0.35	0.36	0.45	0
57	0.4	0.35	0.48	0.5	0.45	0.33	0.42	0
58	0.44	0.34	0.48	0.5	0.3	0.33	0.43	0
59	0.42	0.38	0.48	0.5	0.54	0.34	0.43	0
60	0.44	0.56	0.48	0.5	0.5	0.46	0.54	0
61	0.52	0.36	0.48	0.5	0.41	0.28	0.38	0
62	0.36	0.41	0.48	0.5	0.48	0.47	0.54	0
63	0.18	0.3	0.48	0.5	0.46	0.24	0.35	0
64	0.47	0.29	0.48	0.5	0.51	0.33	0.43	0
65	0.24	0.43	0.48	0.5	0.54	0.52	0.59	0
66	0.25	0.37	0.48	0.5	0.41	0.33	0.42	0
67	0.52	0.57	0.48	0.5	0.42	0.47	0.54	0
68	0.36	0.42	0.48	0.5	0.53	0.32	0.41	0
69	0.3	0.37	0.48	0.5	0.43	0.18	0.3	0
70	0.26	0.4	0.48	0.5	0.36	0.26	0.37	0
71	0.4	0.41	0.48	0.5	0.55	0.22	0.33	0
72	0.22	0.34	0.48	0.5	0.42	0.29	0.39	0
73	0.44	0.35	0.48	0.5	0.44	0.52	0.59	0
74	0.27	0.42	0.48	0.5	0.37	0.38	0.43	0
75	0.16	0.43	0.48	0.5	0.54	0.27	0.37	0
76	0.06	0.61	0.48	0.5	0.49	0.92	0.37	1
77	0.44	0.52	0.48	0.5	0.43	0.47	0.54	1
78	0.63	0.47	0.48	0.5	0.51	0.82	0.84	1
79	0.23	0.48	0.48	0.5	0.59	0.88	0.89	1
80	0.34	0.49	0.48	0.5	0.58	0.85	0.8	1
81	0.43	0.4	0.48	0.5	0.58	0.75	0.78	1
82	0.46	0.61	0.48	0.5	0.48	0.86	0.87	1
83	0.27	0.35	0.48	0.5	0.51	0.77	0.79	1
84	0.52	0.39	0.48	0.5	0.65	0.71	0.73	1
85	0.29	0.47	0.48	0.5	0.71	0.65	0.69	1
86	0.55	0.47	0.48	0.5	0.57	0.78	0.8	1
87	0.12	0.67	0.48	0.5	0.74	0.58	0.63	1
88	0.4	0.5	0.48	0.5	0.65	0.82	0.84	1
89	0.73	0.36	0.48	0.5	0.53	0.91	0.92	1
90	0.84	0.44	0.48	0.5	0.48	0.71	0.74	1
91	0.48	0.45	0.48	0.5	0.6	0.78	0.8	1
92	0.54	0.49	0.48	0.5	0.4	0.87	0.88	1
93	0.48	0.41	0.48	0.5	0.51	0.9	0.88	1
94	0.5	0.66	0.48	0.5	0.31	0.92	0.92	1
95	0.72	0.46	0.48	0.5	0.51	0.66	0.7	1
96	0.47	0.55	0.48	0.5	0.58	0.71	0.75	1
97	0.33	0.56	0.48	0.5	0.33	0.78	0.8	1
98	0.64	0.58	0.48	0.5	0.48	0.78	0.73	1
99	0.54	0.57	0.48	0.5	0.56	0.81	0.83	1
100	0.47	0.59	0.48	0.5	0.52	0.76	0.79	1
101	0.63	0.5	0.48	0.5	0.59	0.85	0.86	1
102	0.49	0.42	0.48	0.5	0.53	0.79	0.81	1
103	0.31	0.5	0.48	0.5	0.57	0.84	0.85	1
104	0.74	0.44	0.48	0.5	0.55	0.88	0.89	1
105	0.33	0.45	0.48	0.5	0.45	0.88	0.89	1
106	0.45	0.4	0.48	0.5	0.61	0.74	0.77	1
107	0.71	0.4	0.48	0.5	0.71	0.7	0.74	1
108	0.5	0.37	0.48	0.5	0.66	0.64	0.69	1
109	0.66	0.53	0.48	0.5	0.59	0.66	0.66	1
110	0.6	0.61	0.48	0.5	0.54	0.67	0.71	1
111	0.83	0.37	0.48	0.5	0.61	0.71	0.74	1
112	0.34	0.51	0.48	0.5	0.67	0.9	0.9	1
113	0.63	0.54	0.48	0.5	0.65	0.79	0.81	1
114	0.7	0.4	0.48	0.5	0.56	0.86	0.83	1
115	0.6	0.5	1.0	0.5	0.54	0.77	0.8	1
116	0.16	0.51	0.48	0.5	0.33	0.39	0.48	1
117	0.74	0.7	0.48	0.5	0.66	0.65	0.69	1
118	0.2	0.46	0.48	0.5	0.57	0.78	0.81	1
119	0.89	0.55	0.48	0.5	0.51	0.72	0.76	1
120	0.7	0.46	0.48	0.5	0.56	0.78	0.73	1
121	0.12	0.43	0.48	0.5	0.63	0.7	0.74	1
122	0.61	0.52	0.48	0.5	0.54	0.67	0.52	1
123	0.33	0.37	0.48	0.5	0.46	0.65	0.69	1
124	0.63	0.65	0.48	0.5	0.66	0.67	0.71	1
125	0.41	0.51	0.48	0.5	0.53	0.75	0.78	1
126	0.34	0.67	0.48	0.5	0.52	0.76	0.79	1
127	0.58	0.34	0.48	0.5	0.56	0.87	0.81	1
128	0.59	0.56	0.48	0.5	0.55	0.8	0.82	1
129	0.51	0.4	0.48	0.5	0.57	0.62	0.67	1
130	0.5	0.57	0.48	0.5	0.71	0.61	0.66	1
131	0.6	0.46	0.48	0.5	0.45	0.81	0.83	1
132	0.37	0.47	0.48	0.5	0.39	0.76	0.79	1
133	0.58	0.55	0.48	0.5	0.57	0.7	0.74	1
134	0.36	0.47	0.48	0.5	0.51	0.69	0.72	1
