	Mcg	 Gvh	 Lip	 Chg	 Aac	 Alm1	 Alm2	Label
0	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
1	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
2	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
3	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
4	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
5	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
6	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
7	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
8	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
9	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
10	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
11	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
12	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
13	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
14	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
15	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
16	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
17	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
18	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
19	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
20	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
21	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
22	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
23	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
24	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
25	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
26	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
27	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
28	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
29	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
30	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
31	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
32	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
33	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
34	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
35	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
36	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
37	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
38	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
39	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
40	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
41	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
42	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
43	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
44	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
45	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
46	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
47	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
48	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
49	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
50	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
51	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
52	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
53	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
54	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
55	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
56	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
57	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
58	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
59	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
60	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
61	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
62	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
63	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
64	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
65	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
66	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
67	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
68	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
69	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
70	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
71	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
72	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
73	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
74	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
75	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
76	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
77	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
78	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
79	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
80	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
81	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
82	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
83	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
84	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
85	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
86	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
87	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
88	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
89	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
90	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
91	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
92	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
93	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
94	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
95	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
96	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
97	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
98	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
99	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
100	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
101	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
102	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
103	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
104	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
105	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
106	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
107	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
108	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
109	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
110	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
111	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
112	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
113	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
114	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
115	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
116	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
117	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
118	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
119	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
120	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
121	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
122	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
123	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
124	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
125	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
126	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
127	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
128	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
129	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
130	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
131	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
132	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
133	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
134	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
135	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
136	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
137	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
138	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
139	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
140	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
141	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
142	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
143	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
144	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
145	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
146	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
147	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
148	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
149	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
150	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
151	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
152	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
153	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
154	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
155	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
156	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
157	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
158	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
159	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
160	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
161	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
162	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
163	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
164	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
165	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
166	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
167	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
168	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
169	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
170	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
171	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
172	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
173	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
174	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
175	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
176	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
177	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
178	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
179	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
180	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
181	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
182	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
183	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
184	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
185	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
186	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
187	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
188	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
189	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
190	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
191	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
192	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
193	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
194	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
195	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
196	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
197	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
198	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
199	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
200	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
201	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
202	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
203	0.61	0.66	0.48	0.5	0.46	0.87	0.88	0
204	0.48	0.49	0.48	0.5	0.52	0.77	0.71	0
205	0.11	0.5	0.48	0.5	0.58	0.72	0.68	0
206	0.31	0.36	0.48	0.5	0.58	0.94	0.94	0
207	0.68	0.51	0.48	0.5	0.71	0.75	0.78	0
208	0.69	0.39	0.48	0.5	0.57	0.76	0.79	0
209	0.52	0.54	0.48	0.5	0.62	0.76	0.79	0
210	0.46	0.59	0.48	0.5	0.36	0.76	0.23	0
211	0.36	0.45	0.48	0.5	0.38	0.79	0.17	0
212	0.0	0.51	0.48	0.5	0.35	0.67	0.44	0
213	0.1	0.49	0.48	0.5	0.41	0.67	0.21	0
214	0.3	0.51	0.48	0.5	0.42	0.61	0.34	0
215	0.61	0.47	0.48	0.5	0.0	0.8	0.32	0
216	0.63	0.75	0.48	0.5	0.64	0.73	0.66	0
217	0.71	0.52	0.48	0.5	0.64	1.0	0.99	0
218	0.85	0.53	0.48	0.5	0.53	0.52	0.35	0
219	0.63	0.49	0.48	0.5	0.54	0.76	0.79	0
220	0.75	0.55	1.0	1.0	0.4	0.47	0.3	0
221	0.7	0.39	1.0	0.5	0.51	0.82	0.84	0
222	0.72	0.42	0.48	0.5	0.65	0.77	0.79	0
223	0.79	0.41	0.48	0.5	0.66	0.81	0.83	0
224	0.83	0.48	0.48	0.5	0.65	0.76	0.79	0
225	0.69	0.43	0.48	0.5	0.59	0.74	0.77	0
226	0.64	0.78	0.48	0.5	0.5	0.36	0.38	1
227	0.62	0.78	0.48	0.5	0.47	0.49	0.54	1
228	0.76	0.73	0.48	0.5	0.44	0.39	0.39	1
229	0.64	0.81	0.48	0.5	0.37	0.39	0.44	1
230	0.29	0.39	0.48	0.5	0.52	0.4	0.48	1
231	0.58	0.55	0.48	0.5	0.57	0.7	0.74	0
232	0.36	0.47	0.48	0.5	0.51	0.69	0.72	0
233	0.39	0.41	0.48	0.5	0.52	0.72	0.75	0
234	0.35	0.51	0.48	0.5	0.61	0.71	0.74	0
235	0.31	0.44	0.48	0.5	0.5	0.79	0.82	0
