	Gender	Married	Dependents	Education	Self_Emplo1ed	ApplicantIncome	CoapplicantIncome	LoanAmount	Loan_Amount_Term	Credit_History	Property_Area	Loan_Status
0	1	2	0	1	2	3858	0.0	76.0	360	1	3	1
1	1	2	0	1	2	4191	0.0	120.0	360	1	2	1
2	1	2	0	1	2	8333	3750.0	187.0	360	1	2	1
3	2	2	0	2	2	1907	2365.0	120.0	360	1	1	1
4	2	1	0	1	2	3416	2816.0	113.0	360	2	3	1
5	1	1	1	2	2	2600	2500.0	90.0	360	1	3	1
6	1	2	2	1	2	4923	0.0	166.0	360	0	3	1
7	1	1	1	2	2	3500	1083.0	135.0	360	1	1	1
8	1	1	2	2	2	3917	0.0	124.0	360	1	3	1
9	2	2	0	2	2	4408	0.0	120.0	360	1	3	1
10	2	2	0	1	2	3244	0.0	80.0	360	1	1	1
11	1	2	0	2	2	3975	2531.0	55.0	360	1	2	1
12	1	2	0	1	2	2479	0.0	59.0	360	1	1	1
13	1	1	1	1	1	7787	0.0	240.0	360	1	1	1
14	1	1	3	2	1	5703	0.0	130.0	360	1	2	1
15	1	1	0	1	2	3173	3021.0	137.0	360	1	1	1
16	1	1	3	2	2	3850	983.0	100.0	360	1	3	1
17	1	1	0	1	2	3727	1775.0	131.0	360	1	3	1
18	2	1	2	1	2	4283	2383.0	127.0	360	2	3	1
19	1	1	2	1	2	4009	1717.0	116.0	360	1	3	1
20	1	2	0	1	2	2971	2791.0	144.0	360	1	3	1
21	1	1	0	1	2	7578	1010.0	175.0	360	1	3	1
22	1	1	0	1	2	6250	0.0	128.0	360	1	3	1
23	1	1	2	1	2	6250	1695.0	210.0	360	1	3	1
24	1	3	4	1	2	4758	0.0	158.0	480	1	3	1
25	1	2	0	1	1	6400	0.0	200.0	360	1	2	1
26	1	1	1	1	2	2491	2054.0	104.0	360	1	3	1
27	1	1	0	1	3	3716	0.0	42.0	180	1	2	1
28	1	2	0	2	2	3189	2598.0	120.0	360	1	2	1
29	2	2	0	1	2	8333	0.0	280.0	360	1	3	1
30	1	1	1	1	2	3155	1779.0	140.0	360	1	3	1
31	1	1	1	1	2	5500	1260.0	170.0	360	1	2	1
32	2	2	0	1	1	3463	0.0	122.0	360	2	1	1
33	2	2	1	1	2	3812	0.0	112.0	360	1	2	1
34	1	1	1	1	2	3315	0.0	96.0	360	1	3	1
35	1	1	2	1	2	5819	5000.0	120.0	360	1	2	1
36	1	2	0	1	2	2965	5701.0	155.0	60	1	1	1
37	1	1	2	1	1	6250	1300.0	108.0	360	1	2	1
38	1	1	0	2	2	3406	4417.0	123.0	360	1	3	1
39	1	1	2	1	2	9703	0.0	112.0	360	1	1	1
40	1	1	1	2	2	6608	0.0	137.0	180	1	1	1
41	1	1	1	1	2	2882	1843.0	123.0	480	1	3	1
