	RI	 Na	 Mg	 Al	 Si	 K	 Ca	 Ba	 Fe	label
0	1.51720948	13.3767	3.5022	1.15028	72.8508	0.50301	8.43204	0.0	0.0	0
1	1.51746006	12.83805	3.5022	1.14065	73.2708	0.5589	8.5504	0.0	0.0	0
2	1.52210718	13.72915	3.83895	0.72014	71.7588	0.16767	9.74476	0.0	0.0	0
3	1.51823458	12.8713	3.47975	1.29152	72.9516	0.60237	8.43204	0.0	0.0	0
4	1.51919134	14.417	3.57853	1.36856	72.078	0.5589	8.30292	0.0	0.0	0
5	1.51761952	12.79815	3.65935	1.26905	73.0076	0.60237	8.56116	0.0	0.0	0
6	1.51750562	12.81145	3.56955	1.3493	73.0188	0.621	8.59344	0.0	0.0	0
7	1.51782454	12.69175	3.53812	1.33967	72.9516	0.57132	8.75484	0.0	0.0	0
8	1.51793844	12.7915	3.5022	1.12139	73.03	0.63963	8.7656	0.0	0.0	0
9	1.51837126	13.1373	2.84217	1.27868	72.8508	0.55269	9.06688	0.0	0.0	0
10	1.5215149	13.05085	3.65037	0.87101	72.218	0.19251	9.85236	0.0	0.0867	0
11	1.51595658	12.7915	3.60996	1.61894	72.9684	0.63963	8.0662	0.0	0.1326	0
12	1.51734616	13.0176	3.53812	1.68956	72.7276	0.54027	8.4428	0.0	0.0357	0
13	1.5177562	12.85135	3.47975	1.23053	72.9684	0.60858	8.56116	0.09135	0.1122	0
14	1.51645774	13.40995	3.55159	1.24979	72.8116	0.6831	8.09848	0.0	0.0	1
15	1.51629828	12.7117	3.33158	1.49054	73.282	0.67068	8.23836	0.0	0.0	1
16	1.52725546	13.8023	3.15198	0.65915	70.5716	0.08073	11.63852	0.0	0.0	1
17	1.51891798	13.46315	3.82997	1.25942	72.5484	0.57132	8.20608	0.0	0.0714	1
18	1.51871296	12.93115	3.65935	1.56116	72.5092	0.57753	8.5504	0.0	0.0612	1
19	1.52176548	13.7491	1.01025	1.35893	72.19	0.32913	11.14356	0.0	0.0	1
20	1.5162755	12.99765	3.57853	1.53869	72.8284	0.60858	8.04468	0.0	0.0	1
21	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	1
22	1.51720948	13.3767	3.5022	1.15028	72.8508	0.50301	8.43204	0.0	0.0	0
23	1.51746006	12.83805	3.5022	1.14065	73.2708	0.5589	8.5504	0.0	0.0	0
24	1.52210718	13.72915	3.83895	0.72014	71.7588	0.16767	9.74476	0.0	0.0	0
25	1.51823458	12.8713	3.47975	1.29152	72.9516	0.60237	8.43204	0.0	0.0	0
26	1.51919134	14.417	3.57853	1.36856	72.078	0.5589	8.30292	0.0	0.0	0
27	1.51761952	12.79815	3.65935	1.26905	73.0076	0.60237	8.56116	0.0	0.0	0
28	1.51750562	12.81145	3.56955	1.3493	73.0188	0.621	8.59344	0.0	0.0	0
29	1.51782454	12.69175	3.53812	1.33967	72.9516	0.57132	8.75484	0.0	0.0	0
30	1.51793844	12.7915	3.5022	1.12139	73.03	0.63963	8.7656	0.0	0.0	0
31	1.51837126	13.1373	2.84217	1.27868	72.8508	0.55269	9.06688	0.0	0.0	0
32	1.5215149	13.05085	3.65037	0.87101	72.218	0.19251	9.85236	0.0	0.0867	0
33	1.51595658	12.7915	3.60996	1.61894	72.9684	0.63963	8.0662	0.0	0.1326	0
34	1.51734616	13.0176	3.53812	1.68956	72.7276	0.54027	8.4428	0.0	0.0357	0
35	1.5177562	12.85135	3.47975	1.23053	72.9684	0.60858	8.56116	0.09135	0.1122	0
36	1.51645774	13.40995	3.55159	1.24979	72.8116	0.6831	8.09848	0.0	0.0	1
37	1.51629828	12.7117	3.33158	1.49054	73.282	0.67068	8.23836	0.0	0.0	1
38	1.52725546	13.8023	3.15198	0.65915	70.5716	0.08073	11.63852	0.0	0.0	1
39	1.51891798	13.46315	3.82997	1.25942	72.5484	0.57132	8.20608	0.0	0.0714	1
40	1.51871296	12.93115	3.65935	1.56116	72.5092	0.57753	8.5504	0.0	0.0612	1
41	1.52176548	13.7491	1.01025	1.35893	72.19	0.32913	11.14356	0.0	0.0	1
42	1.5162755	12.99765	3.57853	1.53869	72.8284	0.60858	8.04468	0.0	0.0	1
43	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	1
44	1.51720948	13.3767	3.5022	1.15028	72.8508	0.50301	8.43204	0.0	0.0	0
45	1.51746006	12.83805	3.5022	1.14065	73.2708	0.5589	8.5504	0.0	0.0	0
46	1.52210718	13.72915	3.83895	0.72014	71.7588	0.16767	9.74476	0.0	0.0	0
47	1.51823458	12.8713	3.47975	1.29152	72.9516	0.60237	8.43204	0.0	0.0	0
48	1.51919134	14.417	3.57853	1.36856	72.078	0.5589	8.30292	0.0	0.0	0
49	1.51761952	12.79815	3.65935	1.26905	73.0076	0.60237	8.56116	0.0	0.0	0
50	1.51750562	12.81145	3.56955	1.3493	73.0188	0.621	8.59344	0.0	0.0	0
51	1.51782454	12.69175	3.53812	1.33967	72.9516	0.57132	8.75484	0.0	0.0	0
52	1.51793844	12.7915	3.5022	1.12139	73.03	0.63963	8.7656	0.0	0.0	0
53	1.51837126	13.1373	2.84217	1.27868	72.8508	0.55269	9.06688	0.0	0.0	0
54	1.5215149	13.05085	3.65037	0.87101	72.218	0.19251	9.85236	0.0	0.0867	0
55	1.51595658	12.7915	3.60996	1.61894	72.9684	0.63963	8.0662	0.0	0.1326	0
56	1.51734616	13.0176	3.53812	1.68956	72.7276	0.54027	8.4428	0.0	0.0357	0
57	1.5177562	12.85135	3.47975	1.23053	72.9684	0.60858	8.56116	0.09135	0.1122	0
58	1.51645774	13.40995	3.55159	1.24979	72.8116	0.6831	8.09848	0.0	0.0	1
59	1.51629828	12.7117	3.33158	1.49054	73.282	0.67068	8.23836	0.0	0.0	1
60	1.52725546	13.8023	3.15198	0.65915	70.5716	0.08073	11.63852	0.0	0.0	1
61	1.51891798	13.46315	3.82997	1.25942	72.5484	0.57132	8.20608	0.0	0.0714	1
62	1.51871296	12.93115	3.65935	1.56116	72.5092	0.57753	8.5504	0.0	0.0612	1
63	1.52176548	13.7491	1.01025	1.35893	72.19	0.32913	11.14356	0.0	0.0	1
64	1.5162755	12.99765	3.57853	1.53869	72.8284	0.60858	8.04468	0.0	0.0	1
65	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	1
66	1.51720948	13.3767	3.5022	1.15028	72.8508	0.50301	8.43204	0.0	0.0	0
67	1.51746006	12.83805	3.5022	1.14065	73.2708	0.5589	8.5504	0.0	0.0	0
68	1.52210718	13.72915	3.83895	0.72014	71.7588	0.16767	9.74476	0.0	0.0	0
69	1.51823458	12.8713	3.47975	1.29152	72.9516	0.60237	8.43204	0.0	0.0	0
70	1.51919134	14.417	3.57853	1.36856	72.078	0.5589	8.30292	0.0	0.0	0
71	1.51761952	12.79815	3.65935	1.26905	73.0076	0.60237	8.56116	0.0	0.0	0
72	1.51750562	12.81145	3.56955	1.3493	73.0188	0.621	8.59344	0.0	0.0	0
73	1.51782454	12.69175	3.53812	1.33967	72.9516	0.57132	8.75484	0.0	0.0	0
74	1.51793844	12.7915	3.5022	1.12139	73.03	0.63963	8.7656	0.0	0.0	0
75	1.51837126	13.1373	2.84217	1.27868	72.8508	0.55269	9.06688	0.0	0.0	0
76	1.5215149	13.05085	3.65037	0.87101	72.218	0.19251	9.85236	0.0	0.0867	0
77	1.51595658	12.7915	3.60996	1.61894	72.9684	0.63963	8.0662	0.0	0.1326	0
78	1.51734616	13.0176	3.53812	1.68956	72.7276	0.54027	8.4428	0.0	0.0357	0
79	1.5177562	12.85135	3.47975	1.23053	72.9684	0.60858	8.56116	0.09135	0.1122	0
80	1.51645774	13.40995	3.55159	1.24979	72.8116	0.6831	8.09848	0.0	0.0	1
81	1.51629828	12.7117	3.33158	1.49054	73.282	0.67068	8.23836	0.0	0.0	1
82	1.52725546	13.8023	3.15198	0.65915	70.5716	0.08073	11.63852	0.0	0.0	1
83	1.51891798	13.46315	3.82997	1.25942	72.5484	0.57132	8.20608	0.0	0.0714	1
84	1.51871296	12.93115	3.65935	1.56116	72.5092	0.57753	8.5504	0.0	0.0612	1
85	1.52176548	13.7491	1.01025	1.35893	72.19	0.32913	11.14356	0.0	0.0	1
86	1.5162755	12.99765	3.57853	1.53869	72.8284	0.60858	8.04468	0.0	0.0	1
87	1.51618438	13.01095	3.5022	1.48091	72.89	0.60237	8.12	0.0	0.0	1
88	1.51720948	13.3767	3.5022	1.15028	72.8508	0.50301	8.43204	0.0	0.0	0
89	1.51746006	12.83805	3.5022	1.14065	73.2708	0.5589	8.5504	0.0	0.0	0
90	1.52210718	13.72915	3.83895	0.72014	71.7588	0.16767	9.74476	0.0	0.0	0
91	1.51823458	12.8713	3.47975	1.29152	72.9516	0.60237	8.43204	0.0	0.0	0
92	1.51919134	14.417	3.57853	1.36856	72.078	0.5589	8.30292	0.0	0.0	0
93	1.51761952	12.79815	3.65935	1.26905	73.0076	0.60237	8.56116	0.0	0.0	0
94	1.51750562	12.81145	3.56955	1.3493	73.0188	0.621	8.59344	0.0	0.0	0
95	1.51782454	12.69175	3.53812	1.33967	72.9516	0.57132	8.75484	0.0	0.0	0
