	SepalLength	 SepalWidth	 PetalLength	 PetalWidth	label
0	6.3	3.3	4.7	1.6	0
1	4.9	2.4	3.3	1.0	0
2	5.2	2.7	3.9	1.4	0
3	5.0	2.0	3.5	1.0	0
4	5.9	3.0	4.2	1.5	0
5	6.0	2.2	4.0	1.0	0
6	6.1	2.9	4.7	1.4	0
7	5.6	2.9	3.6	1.3	0
8	6.7	3.1	4.4	1.4	0
9	5.6	3.0	4.5	1.5	0
10	4.6	3.4	1.4	0.3	1
11	5.0	3.4	1.5	0.2	1
12	4.4	2.9	1.4	0.2	1
13	5.4	3.7	1.5	0.2	1
14	4.8	3.4	1.6	0.2	1
15	6.3	3.3	4.7	1.6	0
16	4.9	2.4	3.3	1.0	0
17	5.2	2.7	3.9	1.4	0
18	5.0	2.0	3.5	1.0	0
19	5.9	3.0	4.2	1.5	0
20	6.0	2.2	4.0	1.0	0
21	6.1	2.9	4.7	1.4	0
22	5.6	2.9	3.6	1.3	0
23	6.7	3.1	4.4	1.4	0
24	5.6	3.0	4.5	1.5	0
25	4.6	3.4	1.4	0.3	1
26	5.0	3.4	1.5	0.2	1
27	4.4	2.9	1.4	0.2	1
28	5.4	3.7	1.5	0.2	1
29	4.8	3.4	1.6	0.2	1
30	6.3	3.3	4.7	1.6	0
31	4.9	2.4	3.3	1.0	0
32	5.2	2.7	3.9	1.4	0
33	5.0	2.0	3.5	1.0	0
34	5.9	3.0	4.2	1.5	0
35	6.0	2.2	4.0	1.0	0
36	6.1	2.9	4.7	1.4	0
37	5.6	2.9	3.6	1.3	0
38	6.7	3.1	4.4	1.4	0
39	5.6	3.0	4.5	1.5	0
40	4.6	3.4	1.4	0.3	1
41	5.0	3.4	1.5	0.2	1
42	4.4	2.9	1.4	0.2	1
43	5.4	3.7	1.5	0.2	1
44	4.8	3.4	1.6	0.2	1
45	6.3	3.3	4.7	1.6	0
46	4.9	2.4	3.3	1.0	0
47	5.2	2.7	3.9	1.4	0
48	5.0	2.0	3.5	1.0	0
49	5.9	3.0	4.2	1.5	0
50	6.0	2.2	4.0	1.0	0
51	6.1	2.9	4.7	1.4	0
52	5.6	2.9	3.6	1.3	0
53	6.7	3.1	4.4	1.4	0
54	5.6	3.0	4.5	1.5	0
55	4.6	3.4	1.4	0.3	1
56	5.0	3.4	1.5	0.2	1
57	4.4	2.9	1.4	0.2	1
58	5.4	3.7	1.5	0.2	1
59	4.8	3.4	1.6	0.2	1
60	6.3	3.3	4.7	1.6	0
61	4.9	2.4	3.3	1.0	0
62	5.2	2.7	3.9	1.4	0
63	5.0	2.0	3.5	1.0	0
64	5.9	3.0	4.2	1.5	0
65	6.0	2.2	4.0	1.0	0
66	6.1	2.9	4.7	1.4	0
67	5.6	2.9	3.6	1.3	0
68	6.7	3.1	4.4	1.4	0
69	5.6	3.0	4.5	1.5	0
70	4.6	3.4	1.4	0.3	1
71	5.0	3.4	1.5	0.2	1
72	4.4	2.9	1.4	0.2	1
73	5.4	3.7	1.5	0.2	1
74	4.8	3.4	1.6	0.2	1
75	6.3	3.3	4.7	1.6	0
76	4.9	2.4	3.3	1.0	0
77	5.2	2.7	3.9	1.4	0
78	5.0	2.0	3.5	1.0	0
79	5.9	3.0	4.2	1.5	0
80	6.0	2.2	4.0	1.0	0
81	6.1	2.9	4.7	1.4	0
82	5.6	2.9	3.6	1.3	0
83	6.7	3.1	4.4	1.4	0
84	5.6	3.0	4.5	1.5	0
85	4.6	3.4	1.4	0.3	1
86	5.0	3.4	1.5	0.2	1
87	4.4	2.9	1.4	0.2	1
88	5.4	3.7	1.5	0.2	1
89	4.8	3.4	1.6	0.2	1
90	6.3	3.3	4.7	1.6	0
91	4.9	2.4	3.3	1.0	0
92	5.2	2.7	3.9	1.4	0
93	5.0	2.0	3.5	1.0	0
94	5.9	3.0	4.2	1.5	0
95	6.0	2.2	4.0	1.0	0
96	6.1	2.9	4.7	1.4	0
97	5.6	2.9	3.6	1.3	0
98	6.7	3.1	4.4	1.4	0
99	5.6	3.0	4.5	1.5	0
100	4.6	3.4	1.4	0.3	1
101	5.0	3.4	1.5	0.2	1
102	4.4	2.9	1.4	0.2	1
103	5.4	3.7	1.5	0.2	1
104	4.8	3.4	1.6	0.2	1
105	6.3	3.3	4.7	1.6	0
106	4.9	2.4	3.3	1.0	0
107	5.2	2.7	3.9	1.4	0
108	5.0	2.0	3.5	1.0	0
109	5.9	3.0	4.2	1.5	0
110	6.0	2.2	4.0	1.0	0
111	6.1	2.9	4.7	1.4	0
112	5.6	2.9	3.6	1.3	0
113	6.7	3.1	4.4	1.4	0
114	5.6	3.0	4.5	1.5	0
115	4.6	3.4	1.4	0.3	1
116	5.0	3.4	1.5	0.2	1
117	4.4	2.9	1.4	0.2	1
118	5.4	3.7	1.5	0.2	1
119	4.8	3.4	1.6	0.2	1
120	6.3	3.3	4.7	1.6	0
121	4.9	2.4	3.3	1.0	0
122	5.2	2.7	3.9	1.4	0
123	5.0	2.0	3.5	1.0	0
124	5.9	3.0	4.2	1.5	0
125	6.0	2.2	4.0	1.0	0
126	6.1	2.9	4.7	1.4	0
127	5.6	2.9	3.6	1.3	0
128	6.7	3.1	4.4	1.4	0
129	5.6	3.0	4.5	1.5	0
130	4.6	3.4	1.4	0.3	1
131	5.0	3.4	1.5	0.2	1
132	4.4	2.9	1.4	0.2	1
133	5.4	3.7	1.5	0.2	1
134	4.8	3.4	1.6	0.2	1
