	1	2	3	4	label
0	5.0	2.0	3.5	1.0	1
1	5.9	3.0	4.2	1.5	1
2	6.0	2.2	4.0	1.0	1
3	6.1	2.9	4.7	1.4	1
4	5.6	2.9	3.6	1.3	1
5	6.7	3.1	4.4	1.4	1
6	5.6	3.0	4.5	1.5	1
7	5.8	2.7	4.1	1.0	1
8	6.2	2.2	4.5	1.5	1
9	5.6	2.5	3.9	1.1	1
10	5.4	3.9	1.7	0.4	0
11	4.6	3.4	1.4	0.3	0
12	5.0	3.4	1.5	0.2	0
13	4.4	2.9	1.4	0.2	0
14	4.9	3.1	1.5	0.1	0
15	5.0	2.0	3.5	1.0	1
16	5.9	3.0	4.2	1.5	1
17	6.0	2.2	4.0	1.0	1
18	6.1	2.9	4.7	1.4	1
19	5.6	2.9	3.6	1.3	1
20	6.7	3.1	4.4	1.4	1
21	5.6	3.0	4.5	1.5	1
22	5.8	2.7	4.1	1.0	1
23	6.2	2.2	4.5	1.5	1
24	5.6	2.5	3.9	1.1	1
25	5.4	3.9	1.7	0.4	0
26	4.6	3.4	1.4	0.3	0
27	5.0	3.4	1.5	0.2	0
28	4.4	2.9	1.4	0.2	0
29	4.9	3.1	1.5	0.1	0
30	5.0	2.0	3.5	1.0	1
31	5.9	3.0	4.2	1.5	1
32	6.0	2.2	4.0	1.0	1
33	6.1	2.9	4.7	1.4	1
34	5.6	2.9	3.6	1.3	1
35	6.7	3.1	4.4	1.4	1
36	5.6	3.0	4.5	1.5	1
37	5.8	2.7	4.1	1.0	1
38	6.2	2.2	4.5	1.5	1
39	5.6	2.5	3.9	1.1	1
40	5.4	3.9	1.7	0.4	0
41	4.6	3.4	1.4	0.3	0
42	5.0	3.4	1.5	0.2	0
43	4.4	2.9	1.4	0.2	0
44	4.9	3.1	1.5	0.1	0
45	5.0	2.0	3.5	1.0	1
46	5.9	3.0	4.2	1.5	1
47	6.0	2.2	4.0	1.0	1
48	6.1	2.9	4.7	1.4	1
49	5.6	2.9	3.6	1.3	1
50	6.7	3.1	4.4	1.4	1
51	5.6	3.0	4.5	1.5	1
52	5.8	2.7	4.1	1.0	1
53	6.2	2.2	4.5	1.5	1
54	5.6	2.5	3.9	1.1	1
55	5.4	3.9	1.7	0.4	0
56	4.6	3.4	1.4	0.3	0
57	5.0	3.4	1.5	0.2	0
58	4.4	2.9	1.4	0.2	0
59	4.9	3.1	1.5	0.1	0
60	5.0	2.0	3.5	1.0	1
61	5.9	3.0	4.2	1.5	1
62	6.0	2.2	4.0	1.0	1
63	6.1	2.9	4.7	1.4	1
64	5.6	2.9	3.6	1.3	1
65	6.7	3.1	4.4	1.4	1
66	5.6	3.0	4.5	1.5	1
67	5.8	2.7	4.1	1.0	1
68	6.2	2.2	4.5	1.5	1
69	5.6	2.5	3.9	1.1	1
70	5.4	3.9	1.7	0.4	0
71	4.6	3.4	1.4	0.3	0
72	5.0	3.4	1.5	0.2	0
73	4.4	2.9	1.4	0.2	0
74	4.9	3.1	1.5	0.1	0
75	5.0	2.0	3.5	1.0	1
76	5.9	3.0	4.2	1.5	1
77	6.0	2.2	4.0	1.0	1
78	6.1	2.9	4.7	1.4	1
79	5.6	2.9	3.6	1.3	1
80	6.7	3.1	4.4	1.4	1
81	5.6	3.0	4.5	1.5	1
82	5.8	2.7	4.1	1.0	1
83	6.2	2.2	4.5	1.5	1
84	5.6	2.5	3.9	1.1	1
85	5.4	3.9	1.7	0.4	0
86	4.6	3.4	1.4	0.3	0
87	5.0	3.4	1.5	0.2	0
88	4.4	2.9	1.4	0.2	0
89	4.9	3.1	1.5	0.1	0
90	5.0	2.0	3.5	1.0	1
91	5.9	3.0	4.2	1.5	1
92	6.0	2.2	4.0	1.0	1
93	6.1	2.9	4.7	1.4	1
94	5.6	2.9	3.6	1.3	1
95	6.7	3.1	4.4	1.4	1
96	5.6	3.0	4.5	1.5	1
97	5.8	2.7	4.1	1.0	1
98	6.2	2.2	4.5	1.5	1
99	5.6	2.5	3.9	1.1	1
100	5.4	3.9	1.7	0.4	0
101	4.6	3.4	1.4	0.3	0
102	5.0	3.4	1.5	0.2	0
103	4.4	2.9	1.4	0.2	0
104	4.9	3.1	1.5	0.1	0
105	5.0	2.0	3.5	1.0	1
106	5.9	3.0	4.2	1.5	1
107	6.0	2.2	4.0	1.0	1
108	6.1	2.9	4.7	1.4	1
109	5.6	2.9	3.6	1.3	1
110	6.7	3.1	4.4	1.4	1
111	5.6	3.0	4.5	1.5	1
112	5.8	2.7	4.1	1.0	1
113	6.2	2.2	4.5	1.5	1
114	5.6	2.5	3.9	1.1	1
115	5.4	3.9	1.7	0.4	0
116	4.6	3.4	1.4	0.3	0
117	5.0	3.4	1.5	0.2	0
118	4.4	2.9	1.4	0.2	0
119	4.9	3.1	1.5	0.1	0
120	5.0	2.0	3.5	1.0	1
121	5.9	3.0	4.2	1.5	1
122	6.0	2.2	4.0	1.0	1
123	6.1	2.9	4.7	1.4	1
124	5.6	2.9	3.6	1.3	1
125	6.7	3.1	4.4	1.4	1
126	5.6	3.0	4.5	1.5	1
127	5.8	2.7	4.1	1.0	1
128	6.2	2.2	4.5	1.5	1
129	5.6	2.5	3.9	1.1	1
130	5.4	3.9	1.7	0.4	0
131	4.6	3.4	1.4	0.3	0
132	5.0	3.4	1.5	0.2	0
133	4.4	2.9	1.4	0.2	0
134	4.9	3.1	1.5	0.1	0
