	1	2	3	4	5	6	7	label
0	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
1	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
2	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
3	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
4	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
5	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
6	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
7	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
8	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
9	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
10	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
11	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
12	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
13	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
14	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	0
15	10.93	12.8	0.839	5.046	2.717	5.398	5.045	0
16	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	0
17	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	0
18	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	0
19	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	0
20	12.8	13.47	0.886	5.16	3.126	4.873	4.914	0
21	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
22	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
23	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
24	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
25	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
26	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
27	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
28	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
29	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
30	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
31	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
32	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
33	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
34	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
35	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	0
36	10.93	12.8	0.839	5.046	2.717	5.398	5.045	0
37	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	0
38	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	0
39	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	0
40	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	0
41	12.8	13.47	0.886	5.16	3.126	4.873	4.914	0
42	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
43	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
44	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
45	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
46	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
47	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
48	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
49	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
50	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
51	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
52	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
53	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
54	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
55	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
56	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	0
57	10.93	12.8	0.839	5.046	2.717	5.398	5.045	0
58	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	0
59	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	0
60	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	0
61	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	0
62	12.8	13.47	0.886	5.16	3.126	4.873	4.914	0
63	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
64	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
65	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
66	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
67	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
68	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
69	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
70	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
71	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
72	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
73	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
74	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
75	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
76	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
77	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	0
78	10.93	12.8	0.839	5.046	2.717	5.398	5.045	0
79	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	0
80	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	0
81	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	0
82	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	0
83	12.8	13.47	0.886	5.16	3.126	4.873	4.914	0
84	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
85	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
86	16.41	15.25	0.8866	5.718	3.525	4.217	5.618	1
87	17.99	15.86	0.8992	5.89	3.694	2.068	5.837	1
88	19.46	16.5	0.8985	6.113	3.892	4.308	6.009	1
89	19.18	16.63	0.8717	6.369	3.681	3.357	6.229	1
90	18.95	16.42	0.8829	6.248	3.755	3.368	6.148	1
91	18.83	16.29	0.8917	6.037	3.786	2.553	5.879	1
92	18.85	16.17	0.9056	6.152	3.806	2.843	6.2	1
93	17.63	15.86	0.88	6.033	3.573	3.747	5.929	1
94	19.94	16.92	0.8752	6.675	3.763	3.252	6.55	1
95	18.55	16.22	0.8865	6.153	3.674	1.738	5.894	1
96	18.45	16.12	0.8921	6.107	3.769	2.235	5.794	1
97	19.38	16.72	0.8716	6.303	3.791	3.678	5.965	1
98	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	0
99	10.93	12.8	0.839	5.046	2.717	5.398	5.045	0
100	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	0
101	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	0
102	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	0
103	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	0
104	12.8	13.47	0.886	5.16	3.126	4.873	4.914	0
105	18.17	16.26	0.8637	6.271	3.512	2.853	6.273	1
106	18.72	16.34	0.881	6.219	3.684	2.188	6.097	1
