	GLCM_pan	Mean_Green	Mean_Red	Mean_NIR	SD_pan	class
0	142.2421875	222.75	99.125	609.875	27.6258484	1
1	113.3452381	216.9047619	96.23809524	539.0	24.60766984	1
2	137.7169118	210.8235294	91.88235294	397.7647059	25.0938722	1
3	134.4845606	200.7037037	85.59259259	291.2962963	15.51820914	1
4	132.2779456	204.7142857	88.66666667	344.952381	18.46612391	1
5	126.468599	205.9230769	90.0	358.6153846	26.84758647	1
6	165.90625	270.0	123.5	779.0	17.3781472	1
7	113.8285714	269.4545455	123.0909091	782.4545455	11.94866776	1
8	139.3247664	213.7407407	96.74074074	565.9259259	20.42390272	1
9	147.5833333	224.3333333	101.3333333	627.6666667	28.6748481	1
10	117.6875	238.5833333	115.0416667	616.1666667	21.65833173	1
11	114.1605114	221.4772727	96.93181818	735.3409091	18.52343836	1
12	123.39375	210.05	90.3	419.7	31.75988035	1
13	167.0	267.0	123.0	733.0	10.30776406	1
14	115.9106667	211.8723404	95.36170213	605.0851064	21.61436154	1
15	144.5901361	201.7837838	93.54054054	502.7027027	26.43146519	1
16	108.15	190.4	93.2	477.6	21.09597118	1
17	132.1583333	217.4666667	93.86666667	584.8666667	17.9401474	1
18	139.6125	211.4	91.3	527.5	26.67676892	1
19	107.9318182	269.3636364	122.7272727	752.0	20.69175585	1
20	122.820323	248.3010753	120.1505376	688.1397849	22.91334523	1
21	115.4557292	214.9166667	99.0	599.875	23.34166518	1
22	136.3206522	216.826087	102.8695652	474.2173913	32.91852806	1
23	154.4375	254.0	119.0	737.0	30.96267915	1
24	121.3692308	197.7142857	85.20408163	455.8979592	30.74037132	1
25	144.8958333	255.0833333	120.5833333	639.8333333	21.46832292	1
26	135.7638191	225.4736842	100.2105263	726.8421053	26.49240732	1
27	123.175	225.0	99.0	733.6	22.98695282	1
28	131.1027569	206.16	90.08	497.12	35.32627351	1
29	117.05625	201.3	88.8	492.0	15.66556734	1
