	Mcg	Gvh	Alm	Mit	Erl	Vac	Nuc	Label
0	0.34	0.66	0.51	0.16	0.5	0.47	0.33	0
1	0.4	0.34	0.52	0.17	0.5	0.47	0.51	0
2	0.58	0.48	0.56	0.1	0.5	0.46	0.25	0
3	0.58	0.48	0.56	0.12	0.5	0.46	0.25	0
4	0.41	0.6	0.53	0.29	0.5	0.47	0.43	0
5	0.6	0.48	0.44	0.52	0.5	0.54	0.63	0
6	0.47	0.49	0.63	0.17	0.5	0.31	0.26	0
7	0.28	0.51	0.55	0.11	0.5	0.46	0.22	0
8	0.56	0.57	0.63	0.39	1.0	0.59	0.4	0
9	0.46	0.57	0.57	0.15	0.5	0.52	0.26	0
10	0.43	0.42	0.54	0.22	0.5	0.57	0.33	0
11	0.44	0.42	0.62	0.14	0.5	0.55	0.37	0
12	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
13	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
14	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
15	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
16	0.48	0.57	0.5	0.09	0.5	0.52	0.42	0
17	0.61	0.57	0.45	0.21	0.5	0.5	0.42	0
18	0.37	0.22	0.64	0.35	0.5	0.47	0.22	0
19	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
20	0.49	0.37	0.59	0.17	0.5	0.51	0.22	0
21	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
22	0.53	0.53	0.53	0.17	0.5	0.49	0.37	0
23	0.29	0.68	0.47	0.26	0.5	0.47	0.37	0
24	0.5	0.45	0.49	0.15	0.5	0.55	0.43	0
25	0.43	0.39	0.51	0.28	0.5	0.4	0.22	0
26	0.34	0.35	0.61	0.19	0.5	0.52	0.25	0
27	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
28	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
29	0.32	0.34	0.61	0.17	0.5	0.52	0.32	0
30	0.34	0.34	0.61	0.18	0.5	0.52	0.32	0
31	0.54	0.45	0.62	0.13	0.5	0.52	0.26	0
32	0.56	0.45	0.59	0.14	0.5	0.51	0.26	0
33	0.45	0.38	0.59	0.18	0.5	0.44	0.45	0
34	0.42	0.32	0.61	0.13	0.5	0.14	0.27	0
35	0.5	0.45	0.49	0.3	0.5	0.47	0.4	0
36	0.23	0.34	0.41	0.28	0.5	0.5	0.27	0
37	0.34	0.31	0.6	0.37	0.5	0.5	0.3	0
38	0.59	0.53	0.47	0.26	0.5	0.53	0.31	0
39	0.57	0.49	0.48	0.16	0.5	0.51	0.22	0
40	0.43	0.32	0.56	0.27	0.5	0.47	0.27	0
41	0.52	0.48	0.54	0.28	0.5	0.54	0.22	0
42	0.43	0.38	0.51	0.24	0.5	0.46	0.33	0
43	0.51	0.46	0.49	0.21	0.5	0.55	0.22	1
44	0.8	0.82	0.57	0.26	0.5	0.57	0.27	1
45	0.46	0.49	0.45	0.28	0.5	0.55	0.22	1
46	0.34	0.66	0.51	0.16	0.5	0.47	0.33	0
47	0.4	0.34	0.52	0.17	0.5	0.47	0.51	0
48	0.58	0.48	0.56	0.1	0.5	0.46	0.25	0
49	0.58	0.48	0.56	0.12	0.5	0.46	0.25	0
50	0.41	0.6	0.53	0.29	0.5	0.47	0.43	0
51	0.6	0.48	0.44	0.52	0.5	0.54	0.63	0
52	0.47	0.49	0.63	0.17	0.5	0.31	0.26	0
53	0.28	0.51	0.55	0.11	0.5	0.46	0.22	0
54	0.56	0.57	0.63	0.39	1.0	0.59	0.4	0
55	0.46	0.57	0.57	0.15	0.5	0.52	0.26	0
56	0.43	0.42	0.54	0.22	0.5	0.57	0.33	0
57	0.44	0.42	0.62	0.14	0.5	0.55	0.37	0
58	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
59	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
60	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
61	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
62	0.48	0.57	0.5	0.09	0.5	0.52	0.42	0
63	0.61	0.57	0.45	0.21	0.5	0.5	0.42	0
64	0.37	0.22	0.64	0.35	0.5	0.47	0.22	0
65	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
66	0.49	0.37	0.59	0.17	0.5	0.51	0.22	0
67	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
68	0.53	0.53	0.53	0.17	0.5	0.49	0.37	0
69	0.29	0.68	0.47	0.26	0.5	0.47	0.37	0
70	0.5	0.45	0.49	0.15	0.5	0.55	0.43	0
71	0.43	0.39	0.51	0.28	0.5	0.4	0.22	0
72	0.34	0.35	0.61	0.19	0.5	0.52	0.25	0
73	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
74	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
75	0.32	0.34	0.61	0.17	0.5	0.52	0.32	0
76	0.34	0.34	0.61	0.18	0.5	0.52	0.32	0
77	0.54	0.45	0.62	0.13	0.5	0.52	0.26	0
78	0.56	0.45	0.59	0.14	0.5	0.51	0.26	0
79	0.45	0.38	0.59	0.18	0.5	0.44	0.45	0
80	0.42	0.32	0.61	0.13	0.5	0.14	0.27	0
81	0.5	0.45	0.49	0.3	0.5	0.47	0.4	0
82	0.23	0.34	0.41	0.28	0.5	0.5	0.27	0
83	0.34	0.31	0.6	0.37	0.5	0.5	0.3	0
84	0.59	0.53	0.47	0.26	0.5	0.53	0.31	0
85	0.57	0.49	0.48	0.16	0.5	0.51	0.22	0
86	0.43	0.32	0.56	0.27	0.5	0.47	0.27	0
87	0.52	0.48	0.54	0.28	0.5	0.54	0.22	0
88	0.43	0.38	0.51	0.24	0.5	0.46	0.33	0
89	0.51	0.46	0.49	0.21	0.5	0.55	0.22	1
90	0.8	0.82	0.57	0.26	0.5	0.57	0.27	1
91	0.46	0.49	0.45	0.28	0.5	0.55	0.22	1
92	0.34	0.66	0.51	0.16	0.5	0.47	0.33	0
93	0.4	0.34	0.52	0.17	0.5	0.47	0.51	0
94	0.58	0.48	0.56	0.1	0.5	0.46	0.25	0
95	0.58	0.48	0.56	0.12	0.5	0.46	0.25	0
96	0.41	0.6	0.53	0.29	0.5	0.47	0.43	0
97	0.6	0.48	0.44	0.52	0.5	0.54	0.63	0
98	0.47	0.49	0.63	0.17	0.5	0.31	0.26	0
99	0.28	0.51	0.55	0.11	0.5	0.46	0.22	0
100	0.56	0.57	0.63	0.39	1.0	0.59	0.4	0
101	0.46	0.57	0.57	0.15	0.5	0.52	0.26	0
102	0.43	0.42	0.54	0.22	0.5	0.57	0.33	0
103	0.44	0.42	0.62	0.14	0.5	0.55	0.37	0
104	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
105	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
106	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
107	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
108	0.48	0.57	0.5	0.09	0.5	0.52	0.42	0
109	0.61	0.57	0.45	0.21	0.5	0.5	0.42	0
110	0.37	0.22	0.64	0.35	0.5	0.47	0.22	0
111	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
112	0.49	0.37	0.59	0.17	0.5	0.51	0.22	0
113	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
114	0.53	0.53	0.53	0.17	0.5	0.49	0.37	0
115	0.29	0.68	0.47	0.26	0.5	0.47	0.37	0
116	0.5	0.45	0.49	0.15	0.5	0.55	0.43	0
117	0.43	0.39	0.51	0.28	0.5	0.4	0.22	0
118	0.34	0.35	0.61	0.19	0.5	0.52	0.25	0
119	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
120	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
121	0.32	0.34	0.61	0.17	0.5	0.52	0.32	0
122	0.34	0.34	0.61	0.18	0.5	0.52	0.32	0
123	0.54	0.45	0.62	0.13	0.5	0.52	0.26	0
124	0.56	0.45	0.59	0.14	0.5	0.51	0.26	0
125	0.45	0.38	0.59	0.18	0.5	0.44	0.45	0
126	0.42	0.32	0.61	0.13	0.5	0.14	0.27	0
127	0.5	0.45	0.49	0.3	0.5	0.47	0.4	0
128	0.23	0.34	0.41	0.28	0.5	0.5	0.27	0
129	0.34	0.31	0.6	0.37	0.5	0.5	0.3	0
130	0.59	0.53	0.47	0.26	0.5	0.53	0.31	0
131	0.57	0.49	0.48	0.16	0.5	0.51	0.22	0
132	0.43	0.32	0.56	0.27	0.5	0.47	0.27	0
133	0.52	0.48	0.54	0.28	0.5	0.54	0.22	0
134	0.43	0.38	0.51	0.24	0.5	0.46	0.33	0
135	0.51	0.46	0.49	0.21	0.5	0.55	0.22	1
136	0.8	0.82	0.57	0.26	0.5	0.57	0.27	1
137	0.46	0.49	0.45	0.28	0.5	0.55	0.22	1
138	0.34	0.66	0.51	0.16	0.5	0.47	0.33	0
139	0.4	0.34	0.52	0.17	0.5	0.47	0.51	0
140	0.58	0.48	0.56	0.1	0.5	0.46	0.25	0
141	0.58	0.48	0.56	0.12	0.5	0.46	0.25	0
142	0.41	0.6	0.53	0.29	0.5	0.47	0.43	0
143	0.6	0.48	0.44	0.52	0.5	0.54	0.63	0
144	0.47	0.49	0.63	0.17	0.5	0.31	0.26	0
145	0.28	0.51	0.55	0.11	0.5	0.46	0.22	0
146	0.56	0.57	0.63	0.39	1.0	0.59	0.4	0
147	0.46	0.57	0.57	0.15	0.5	0.52	0.26	0
148	0.43	0.42	0.54	0.22	0.5	0.57	0.33	0
149	0.44	0.42	0.62	0.14	0.5	0.55	0.37	0
150	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
151	0.37	0.34	0.58	0.24	0.5	0.44	0.18	0
152	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
153	0.39	0.39	0.55	0.52	0.5	0.37	0.16	0
154	0.48	0.57	0.5	0.09	0.5	0.52	0.42	0
155	0.61	0.57	0.45	0.21	0.5	0.5	0.42	0
156	0.37	0.22	0.64	0.35	0.5	0.47	0.22	0
157	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
158	0.49	0.37	0.59	0.17	0.5	0.51	0.22	0
159	0.51	0.48	0.58	0.22	0.5	0.5	0.28	0
160	0.53	0.53	0.53	0.17	0.5	0.49	0.37	0
161	0.29	0.68	0.47	0.26	0.5	0.47	0.37	0
162	0.5	0.45	0.49	0.15	0.5	0.55	0.43	0
163	0.43	0.39	0.51	0.28	0.5	0.4	0.22	0
164	0.34	0.35	0.61	0.19	0.5	0.52	0.25	0
165	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
166	0.44	0.53	0.52	0.37	0.5	0.5	0.22	0
167	0.32	0.34	0.61	0.17	0.5	0.52	0.32	0
168	0.34	0.34	0.61	0.18	0.5	0.52	0.32	0
169	0.54	0.45	0.62	0.13	0.5	0.52	0.26	0
170	0.56	0.45	0.59	0.14	0.5	0.51	0.26	0
171	0.45	0.38	0.59	0.18	0.5	0.44	0.45	0
172	0.42	0.32	0.61	0.13	0.5	0.14	0.27	0
173	0.5	0.45	0.49	0.3	0.5	0.47	0.4	0
174	0.23	0.34	0.41	0.28	0.5	0.5	0.27	0
175	0.34	0.31	0.6	0.37	0.5	0.5	0.3	0
176	0.59	0.53	0.47	0.26	0.5	0.53	0.31	0
