	@inputs Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.51	0.4	0.56	0.17	0.5	0.5	0.49	0.22	0
1	0.4	0.39	0.6	0.15	0.5	0.0	0.58	0.3	0
2	0.4	0.42	0.57	0.35	0.5	0.0	0.53	0.25	0
3	0.46	0.44	0.52	0.11	0.5	0.0	0.5	0.22	0
4	0.47	0.39	0.5	0.11	0.5	0.0	0.49	0.4	0
5	0.45	0.4	0.5	0.16	0.5	0.0	0.5	0.22	0
6	0.43	0.44	0.48	0.22	0.5	0.0	0.51	0.22	0
7	0.73	0.63	0.42	0.3	0.5	0.0	0.49	0.22	0
8	0.43	0.53	0.52	0.13	0.5	0.0	0.55	0.22	0
9	0.46	0.53	0.52	0.15	0.5	0.0	0.58	0.22	0
10	0.57	0.47	0.6	0.18	0.5	0.0	0.51	0.22	0
11	0.38	0.61	0.61	0.12	0.5	0.0	0.53	0.47	0
12	0.4	0.45	0.57	0.18	0.5	0.0	0.56	0.26	0
13	0.48	0.39	0.51	0.21	0.5	0.0	0.52	0.28	0
14	0.64	0.59	0.56	0.23	0.5	0.0	0.46	0.22	0
15	0.64	0.56	0.56	0.22	0.5	0.0	0.45	0.22	0
16	0.66	0.62	0.49	0.1	0.5	0.0	0.49	0.22	0
17	0.53	0.44	0.51	0.33	0.5	0.0	0.55	0.22	0
18	0.38	0.49	0.53	0.19	0.5	0.0	0.5	0.22	0
19	0.54	0.48	0.44	0.08	0.5	0.0	0.52	0.27	0
20	0.6	0.47	0.45	0.22	0.5	0.0	0.51	0.29	0
21	0.34	0.46	0.57	0.09	0.5	0.0	0.55	0.22	0
22	0.48	0.54	0.55	0.12	0.5	0.0	0.51	0.22	0
23	0.47	0.39	0.59	0.15	0.5	0.0	0.57	0.22	0
24	0.42	0.47	0.52	0.41	0.5	0.0	0.53	0.32	0
25	0.4	0.45	0.56	0.2	0.5	0.0	0.45	0.22	0
26	0.49	0.61	0.49	0.25	0.5	0.0	0.5	0.28	0
27	0.64	0.57	0.57	0.27	0.5	0.0	0.37	0.22	0
28	0.47	0.52	0.5	0.4	0.5	0.0	0.41	0.22	0
29	0.47	0.39	0.55	0.24	0.5	0.0	0.47	0.22	0
30	0.3	0.56	0.55	0.18	0.5	0.0	0.5	0.22	0
31	0.65	0.65	0.52	0.16	0.5	0.0	0.6	0.22	0
32	0.5	0.64	0.57	0.15	0.5	0.0	0.47	0.22	0
33	0.4	0.62	0.52	0.31	0.5	0.0	0.49	0.31	0
34	0.6	0.5	0.57	0.25	0.5	0.0	0.41	0.26	0
35	0.34	0.54	0.5	0.21	0.5	0.0	0.54	0.31	0
36	0.29	0.32	0.58	0.15	0.5	0.0	0.5	0.3	0
37	0.39	0.47	0.56	0.16	0.5	0.0	0.47	0.22	0
38	0.43	0.57	0.53	0.16	0.5	0.0	0.54	0.22	0
39	0.59	0.48	0.5	0.14	0.5	0.0	0.45	0.25	0
40	0.39	0.55	0.48	0.31	0.5	0.0	0.54	0.29	0
41	0.44	0.39	0.53	0.14	0.5	0.0	0.54	0.44	0
42	0.45	0.43	0.51	0.24	0.5	0.0	0.54	0.33	0
43	0.42	0.43	0.56	0.1	0.5	0.0	0.49	0.22	0
44	0.4	0.42	0.71	0.21	0.5	0.0	0.54	0.32	0
45	0.4	0.42	0.71	0.21	0.5	0.0	0.54	0.32	0
46	0.54	0.49	0.49	0.2	0.5	0.0	0.52	0.22	0
47	0.86	0.68	0.39	0.24	0.5	0.0	0.54	0.22	1
48	0.79	0.57	0.41	0.28	0.5	0.0	0.59	0.22	1
49	0.74	0.75	0.58	0.47	0.5	0.0	0.4	0.35	1
50	0.69	0.61	0.38	0.27	0.5	0.0	0.52	0.22	1
51	0.54	0.42	0.41	0.16	0.5	0.0	0.52	0.22	1
52	0.83	0.58	0.33	0.04	0.5	0.0	0.53	0.22	1
53	0.51	0.4	0.56	0.17	0.5	0.5	0.49	0.22	0
54	0.4	0.39	0.6	0.15	0.5	0.0	0.58	0.3	0
55	0.4	0.42	0.57	0.35	0.5	0.0	0.53	0.25	0
56	0.46	0.44	0.52	0.11	0.5	0.0	0.5	0.22	0
57	0.47	0.39	0.5	0.11	0.5	0.0	0.49	0.4	0
58	0.45	0.4	0.5	0.16	0.5	0.0	0.5	0.22	0
59	0.43	0.44	0.48	0.22	0.5	0.0	0.51	0.22	0
60	0.73	0.63	0.42	0.3	0.5	0.0	0.49	0.22	0
61	0.43	0.53	0.52	0.13	0.5	0.0	0.55	0.22	0
62	0.46	0.53	0.52	0.15	0.5	0.0	0.58	0.22	0
63	0.57	0.47	0.6	0.18	0.5	0.0	0.51	0.22	0
64	0.38	0.61	0.61	0.12	0.5	0.0	0.53	0.47	0
