	Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	label
0	0.41	0.4	0.59	0.47	0.5	0.0	0.48	0.43	0
1	0.5	0.64	0.57	0.15	0.5	0.0	0.47	0.22	0
2	0.4	0.62	0.52	0.31	0.5	0.0	0.49	0.31	0
3	0.6	0.5	0.57	0.25	0.5	0.0	0.41	0.26	0
4	0.34	0.54	0.5	0.21	0.5	0.0	0.54	0.31	0
5	0.39	0.58	0.5	0.26	0.5	0.0	0.54	0.59	0
6	0.29	0.32	0.58	0.15	0.5	0.0	0.5	0.3	0
7	0.39	0.47	0.56	0.16	0.5	0.0	0.47	0.22	0
8	0.43	0.57	0.53	0.16	0.5	0.0	0.54	0.22	0
9	0.59	0.48	0.5	0.14	0.5	0.0	0.45	0.25	0
10	0.39	0.55	0.48	0.31	0.5	0.0	0.54	0.29	0
11	0.44	0.39	0.53	0.14	0.5	0.0	0.54	0.44	0
12	0.45	0.43	0.51	0.24	0.5	0.0	0.54	0.33	0
13	0.42	0.43	0.56	0.1	0.5	0.0	0.49	0.22	0
14	0.71	0.59	0.48	0.43	0.5	0.0	0.59	0.22	0
15	0.4	0.42	0.71	0.21	0.5	0.0	0.54	0.32	0
16	0.4	0.42	0.71	0.21	0.5	0.0	0.54	0.32	0
17	0.54	0.49	0.49	0.2	0.5	0.0	0.52	0.22	0
18	0.35	0.45	0.43	0.11	0.5	0.0	0.56	0.22	0
19	0.42	0.42	0.42	0.2	0.5	0.0	0.49	0.22	0
20	0.26	0.5	0.33	0.28	0.5	0.0	0.51	0.22	0
21	0.39	0.42	0.38	0.4	0.5	0.0	0.49	0.47	0
22	0.26	0.44	0.3	0.11	0.5	0.0	0.51	0.47	0
23	0.48	0.61	0.44	0.2	0.5	0.0	0.47	0.22	0
24	0.66	0.45	0.5	0.23	0.5	0.0	0.49	0.22	0
25	0.21	0.41	0.55	0.11	0.5	0.0	0.5	0.27	0
26	0.38	0.68	0.44	0.45	0.5	0.0	0.53	0.22	0
27	0.44	0.38	0.48	0.32	0.5	0.83	0.53	0.22	0
28	0.39	0.4	0.53	0.67	0.5	0.0	0.47	0.22	0
29	0.24	0.34	0.69	0.18	0.5	0.0	0.52	0.22	0
30	0.49	0.43	0.51	0.13	0.5	0.0	0.47	0.22	0
31	0.54	0.38	0.52	0.18	0.5	0.0	0.48	0.22	0
32	0.43	0.57	0.53	0.53	0.5	0.0	0.53	0.25	0
33	0.48	0.64	0.61	0.23	0.5	0.0	0.6	0.22	0
34	0.31	0.55	0.52	0.17	0.5	0.0	0.52	0.22	0
35	0.32	0.57	0.5	0.15	0.5	0.0	0.53	0.22	0
36	0.32	0.42	0.52	0.24	0.5	0.0	0.6	0.22	0
37	0.59	0.5	0.52	0.28	0.5	0.0	0.55	0.25	0
38	0.37	0.42	0.51	0.11	0.5	0.0	0.57	0.22	0
39	0.75	0.7	0.38	0.27	0.5	0.0	0.49	0.22	0
40	0.61	0.72	0.31	0.33	0.5	0.0	0.56	0.22	0
41	0.44	0.42	0.6	0.21	0.5	0.0	0.57	0.22	0
42	0.52	0.51	0.51	0.54	0.5	0.0	0.55	0.27	0
43	0.63	0.56	0.45	0.58	0.5	0.0	0.51	0.22	0
44	0.52	0.56	0.54	0.53	0.5	0.0	0.45	0.22	0
45	0.58	0.58	0.58	0.49	0.5	0.0	0.49	0.26	0
46	0.72	0.62	0.34	0.29	0.5	0.0	0.56	0.28	0
