	Mcg	 Gvh	 Alm	 Mit	 Erl	 Pox	 Vac	 Nuc	Label
0	0.5	0.5	0.54	0.16	0.5	0.0	0.49	0.22	0
1	0.45	0.46	0.61	0.2	0.5	0.0	0.62	0.22	0
2	0.49	0.45	0.53	0.16	0.5	0.0	0.49	0.31	0
3	0.55	0.59	0.52	0.1	0.5	0.0	0.53	0.22	0
4	0.33	0.38	0.45	0.19	0.5	0.0	0.54	0.37	0
5	0.48	0.45	0.59	0.35	0.5	0.0	0.55	0.3	0
6	0.26	0.28	0.6	0.2	0.5	0.0	0.54	0.31	0
7	0.46	0.46	0.53	0.23	0.5	0.0	0.51	0.22	0
8	0.28	0.36	0.55	0.15	0.5	0.0	0.57	0.22	0
9	0.74	0.72	0.5	0.28	0.5	0.0	0.49	0.27	0
10	0.53	0.54	0.43	0.18	0.5	0.0	0.53	0.31	0
11	0.47	0.54	0.53	0.77	0.5	0.0	0.52	0.36	0
12	0.49	0.71	0.54	0.13	0.5	0.0	0.58	0.22	0
13	0.46	0.37	0.48	0.36	0.5	0.0	0.48	0.22	0
14	0.75	0.69	0.48	0.13	0.5	0.0	0.57	0.4	0
15	0.69	0.7	0.5	0.3	0.5	0.0	0.54	0.22	0
16	0.46	0.62	0.54	0.25	0.5	0.0	0.46	0.22	0
17	0.68	0.39	0.5	0.15	0.5	0.0	0.48	0.37	0
18	0.48	0.56	0.49	0.32	0.5	0.0	0.5	0.22	0
19	0.48	0.48	0.56	0.18	0.5	0.0	0.58	0.22	0
20	0.61	0.55	0.51	0.26	0.5	0.0	0.52	0.22	0
21	0.5	0.62	0.52	0.3	0.5	0.0	0.56	0.22	0
22	0.68	0.53	0.44	0.31	0.5	0.0	0.51	0.22	0
23	0.61	0.39	0.53	0.14	0.5	0.0	0.43	0.26	0
24	0.39	0.16	0.59	0.08	0.5	0.0	0.51	0.27	0
25	0.51	0.55	0.56	0.18	0.5	0.0	0.5	0.38	0
26	0.31	0.39	0.55	0.28	0.5	0.0	0.46	0.31	0
27	0.54	0.53	0.53	0.17	0.5	0.0	0.51	0.39	0
28	0.49	0.67	0.5	0.28	0.5	0.0	0.43	0.22	0
29	0.44	0.45	0.53	0.19	0.5	0.0	0.41	0.28	0
30	0.46	0.41	0.58	0.1	0.5	0.0	0.48	0.22	0
31	0.57	0.51	0.58	0.22	0.5	0.0	0.51	0.22	0
32	0.37	0.58	0.5	0.22	0.5	0.0	0.47	0.22	0
33	0.5	0.36	0.64	0.37	0.5	0.0	0.37	0.33	0
34	0.45	0.5	0.57	0.29	0.5	0.0	0.44	0.11	0
35	0.61	0.38	0.57	0.36	0.5	0.0	0.44	0.21	0
36	0.61	0.38	0.57	0.36	0.5	0.0	0.44	0.21	0
37	0.35	0.41	0.53	0.27	0.5	0.0	0.47	0.29	0
38	0.34	0.48	0.47	0.19	0.5	0.0	0.5	0.3	0
39	0.44	0.5	0.55	0.24	0.5	0.0	0.48	0.22	0
40	0.31	0.6	0.65	0.18	0.5	0.0	0.46	0.22	0
41	0.38	0.38	0.54	0.24	0.5	0.0	0.54	0.22	0
42	0.36	0.56	0.52	0.18	0.5	0.0	0.45	0.16	0
43	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
44	0.63	0.64	0.45	0.26	0.5	0.0	0.43	0.22	0
45	0.43	0.33	0.67	0.12	0.5	0.0	0.45	0.23	0
46	0.35	0.21	1.0	0.8	0.5	0.0	0.13	0.01	0
47	0.56	0.35	0.47	0.41	0.5	0.0	0.5	0.22	0
48	0.66	0.6	0.52	0.19	0.5	0.0	0.69	0.22	0
49	0.73	0.6	0.47	0.2	0.5	0.0	0.72	0.22	0
50	0.78	0.82	0.56	0.21	0.5	0.0	0.69	0.22	0
51	0.47	0.56	0.46	0.5	0.5	0.0	0.51	0.22	0
52	0.52	0.43	0.61	0.22	0.5	0.0	0.45	0.22	0
53	0.41	0.49	0.65	0.28	0.5	0.0	0.59	0.57	0
54	0.53	0.57	0.6	0.36	0.5	0.0	0.5	0.22	0
55	0.37	0.3	0.62	0.43	0.5	0.0	0.44	0.39	0
56	0.41	0.46	0.58	0.08	0.5	0.0	0.51	0.28	0
57	0.51	0.4	0.5	0.28	0.5	0.0	0.48	0.27	0
58	0.46	0.49	0.55	0.18	0.5	0.0	0.56	0.22	0
59	0.53	0.51	0.55	0.57	0.5	0.0	0.46	0.22	0
60	0.6	0.51	0.49	0.18	0.5	0.0	0.53	0.38	0
61	0.85	0.66	0.49	0.18	0.5	0.0	0.51	0.22	0
62	0.58	0.56	0.46	0.14	0.5	0.0	0.51	0.22	0
63	0.46	0.47	0.44	0.18	1.0	0.0	0.46	0.22	0
64	0.54	0.51	0.56	0.15	0.5	0.0	0.54	0.31	0
65	0.47	0.37	0.46	0.28	0.5	0.0	0.52	0.99	0
66	0.3	0.33	0.55	0.12	0.5	0.0	0.53	0.38	0
67	0.49	0.49	0.52	0.18	0.5	0.0	0.51	0.25	0
68	0.56	0.59	0.45	0.15	0.5	0.0	0.54	0.22	0
69	0.45	0.65	0.51	0.17	0.5	0.0	0.49	0.22	0
70	0.45	0.41	0.53	0.49	0.5	0.0	0.49	0.31	0
71	0.33	0.42	0.55	0.23	0.5	0.0	0.52	0.43	0
72	0.37	0.47	0.49	0.12	0.5	0.0	0.47	0.31	0
73	0.4	0.75	0.44	0.12	0.5	0.0	0.49	0.22	0
74	0.6	0.64	0.56	0.36	0.5	0.0	0.46	0.27	0
75	0.55	0.4	0.62	0.22	0.5	0.0	0.37	0.28	0
76	0.55	0.57	0.51	0.07	0.5	0.0	0.55	0.22	0
77	0.36	0.32	0.55	0.27	0.5	0.0	0.47	0.43	0
78	0.66	0.65	0.54	0.4	0.5	0.0	0.51	0.22	0
79	0.49	0.6	0.54	0.35	0.5	0.0	0.53	0.46	0
80	0.49	0.48	0.51	0.21	0.5	0.0	0.53	0.22	0
81	0.51	0.48	0.51	0.19	0.5	0.0	0.51	0.27	0
82	0.6	0.46	0.51	0.1	0.5	0.0	0.48	0.31	0
83	0.6	0.46	0.51	0.1	0.5	0.0	0.48	0.31	0
84	0.45	0.45	0.51	0.3	0.5	0.0	0.48	0.44	0
85	0.83	0.81	0.45	0.38	0.5	0.0	0.4	0.26	0
86	0.38	0.51	0.56	0.21	0.5	0.0	0.48	0.31	0
87	0.44	0.4	0.53	0.19	0.5	0.0	0.48	0.27	0
88	0.58	0.64	0.42	0.3	0.5	0.0	0.54	0.22	0
89	0.74	0.82	0.46	0.24	0.5	0.0	0.48	0.22	0
90	0.39	0.39	0.65	0.16	0.5	0.0	0.45	0.22	0
91	0.41	0.35	0.6	0.22	0.5	0.0	0.56	0.79	0
92	0.63	0.64	0.49	0.2	0.5	0.0	0.52	0.25	0
93	0.63	0.43	0.48	0.11	0.5	0.0	0.51	0.22	0
94	0.77	0.7	0.44	0.29	0.5	0.0	0.56	0.22	0
